Dec	Hex	Event Type	Description	Sub Event Type	Software_Hardware	Short Name
44	2C				SWANFTEST_579_VOLTAGES	SWANFTEST_579_VOLTAGES
45	2D				SWANFTEST_579_CURRENT	SWANFTEST_579_CURRENT
46	2E				SVU 	SVU
47	2F				CAL 	CAL
48	30			EBH 	EBH 	EBH
49	31			EBD 	EBD 	EBD
50	32				NDL 	NDL
51	33			EBS 	EBS 	EBS
52	34				EBS_ET_INDICATION 	EBS_ET_INDICATION
53	35				VBE 	VBE
54	36				PLS 	PLS
55	37				EHC 	EHC
56	38				SWANFTEST_616	SWANFTEST_616
57	39				SWANFTEST_632_PART1	SWANFTEST_632_PART1
58	3A				SWANFTEST_632_PART2	SWANFTEST_632_PART2
59	3B				SWANFTEST_632_PART3_AND_PART4	SWANFTEST_632_PART3_AND_PART4
60	3C				VDV 	VDV
61	3D				EHE 	EHE
62	3E				SWANFTEST_1024_PRECHARGE	SWANFTEST_1024_PRECHARGE
63	3F				BDR_BMSCHIP_PACK_DATA 	BDR_BMSCHIP_PACK_DATA
64	40				DDD_CHARGE_DISCHARGE_PROCEDURE 	DDD_CHARGE_DISCHARGE_PROCEDURE
65	41				BDR_CHARGE_TIME_LEFT 	BDR_CHARGE_TIME_LEFT
66	42				EBS_ETA_INDICATION  	EBS_ETA_INDICATION 
67	43				BMS_VALUE_MONITORING 	BMS_VALUE_MONITORING
68	44				VDB_VALUE_MONITORING 	VDB_VALUE_MONITORING
69	45				BMS_BALANCING 	BMS_BALANCING
70	46				VDE_FW_UPDATE 	VDE_FW_UPDATE
71	47				CHU 	CHU
72	48				VAM 	VAM
73	49				BDR_TEMPERATURES 	BDR_TEMPERATURES
74	4A				DPD 	DPD
75	4B				EHE_IMPORTANT_TUBE_INFORMATION	EHE_IMPORTANT_TUBE_INFORMATION
76	4C				VDB _SWANFTEST_1349	VDB_SWANFTEST_1349
77	4D				SYC_PROFILING_ID	SYC_PROFILING_ID
78	4E				BMS_LOG_VIRTUAL_VOLTAGE_AND_PLV	BMS_LOG_VIRTUAL_VOLTAGE_AND_PLV
79	4F				BMS_DUMP_IMPORTANT_TUBE_INFORMATION	BMS_DUMP_IMPORTANT_TUBE_INFORMATION
80	50				TIU 	TIU
81	51				ADC_ET_BMS_VOUT_1KHZ_ID	ADC_ET_BMS_VOUT_1KHZ_ID
82	52				ADC_ET_I_CHARGE_1KHZ_ID	ADC_ET_I_CHARGE_1KHZ_ID
83	53				ADC_ET_I_DISCHARGE_1KHZ_ID	ADC_ET_I_DISCHARGE_1KHZ_ID
84	54				ADC_ET_AN_U_TUBE_1KHZ_ID	ADC_ET_AN_U_TUBE_1KHZ_ID
85	55				ADC_ETA_CURR_OUT_1KHZ_ID	ADC_ETA_CURR_OUT_1KHZ_ID
86	56				ADC_ETA_MESH_OUT_1KHZ_ID	ADC_ETA_MESH_OUT_1KHZ_ID
87	57				ADC_ETA_EB_OUT_1KHZ_ID	ADC_ETA_EB_OUT_1KHZ_ID
88	58				USAGE_DATA_MANAGER_UPDATE_EVENT_ID	USAGE_DATA_MANAGER_UPDATE_EVENT_ID
89	59				VAM_MEASUREMENT_ID 	VAM_MEASUREMENT_ID
90	5A				BDR_TEMP_CALC_CHECK 	BDR_TEMP_CALC_CHECK
91	5B				LED 	LED
92	5C				SAU 	SAU
93	5D				ASS 	ASS
94	5E				WDT 	WDT
95	5F				SW_COMP_ID_MAX	MAX
